FechayHora	P2_Hs	P6_Hs
28948	2.17	2.18
28948.25	1.99	2.05
28948.5	1.69	1.75
28948.75	1.41	1.5
28949	1.62	2.02
28949.25	1.38	1.55
28949.5	1.45	1.51
28949.75	1.05	1.21
28950	1.39	1.55
28950.25	0.9	1.04
28950.5	1.39	2.09
28950.75	1.36	1.77
28951	1.46	1.86
28951.25	0.99	1.53
28951.5	1.05	1.52
28951.75	0.74	1.1
28952	0.83	1.24
28952.25	0.93	1.46
28952.5	1.15	1.73
28952.75	0.55	0.94
28953	0.26	0.65
28953.25	0.49	0.94
28953.5	0.39	0.52
28953.75	0.1	0.21
28954	0.33	0.67
28954.25	0.55	1.13
28954.5	3.58	4.42
28954.75	1.01	1.23
28955	1.41	1.77
28955.25	0.77	0.99
28955.5	0.64	1.03
28955.75	0.7	1.12
28956	0.94	1.47
28956.25	0.73	1.1
28956.5	1.03	1.35
28956.75	0.8	1.16
28957	0.83	1.1
28957.25	0.58	1.18
28957.5	0.47	0.98
28957.75	0.56	0.94
28958	0.49	0.68
28958.25	0.24	0.57
28958.5	0.51	1
28958.75	0.36	0.53
28959	0.61	1.16
28959.25	1.44	2.28
28959.5	1.37	1.77
28959.75	0.38	0.9
28960	1.25	2
28960.25	1.12	1.58
28960.5	1.62	2.57
28960.75	1.44	1.88
28961	0.48	0.76
28961.25	0.65	1.13
28961.5	1.03	1.41
28961.75	0.82	1.28
28962	1.41	2.14
28962.25	0.89	1.72
28962.5	2.48	3.42
28962.75	1.6	1.92
28963	0.58	0.97
28963.25	1.45	2.43
28963.5	2.95	3.73
28963.75	2.13	2.43
28964	1.23	1.44
28964.25	0.82	0.97
28964.5	0.37	0.6
28964.75	0.5	1.07
28965	0.53	0.74
28965.25	0.62	0.81
28965.5	1.25	1.73
28965.75	1.76	2.41
28966	1.84	2.42
28966.25	1.82	2.55
28966.5	1.6	2.37
28966.75	2.14	2.36
28967	1.37	1.54
28967.25	1.06	1.36
28967.5	0.9	1.41
28967.75	0.53	0.9
28968	0.77	1.25
28968.25	1.01	1.6
28968.5	2.14	2.78
28968.75	1.5	1.98
28969	1.23	1.55
28969.25	1.11	1.4
28969.5	1.03	1.3
28969.75	0.95	1.19
28970	0.81	0.98
28970.25	0.91	1.2
28970.5	1.1	1.46
28970.75	1.14	1.55
28971	1.05	1.3
28971.25	0.89	1.1
28971.5	1.59	1.72
28971.75	0.94	1.13
28972	0.76	0.92
28972.25	0.75	1.1
28972.5	0.54	0.75
28972.75	0.99	1.05
28973	1.18	1.21
28973.25	1.02	1.04
28973.5	1	1.05
28973.75	0.74	0.96
28974	0.68	0.89
28974.25	1.1	1.47
28974.5	1.21	1.52
28974.75	0.98	1.15
28975	0.63	0.81
28975.25	0.45	0.79
28975.5	1.24	1.96
28975.75	0.27	0.55
28976	0.86	1.19
28976.25	0.33	0.58
28976.5	0.92	1.29
28976.75	0.73	1
28977	0.9	1.4
28977.25	1.35	2.3
28977.5	1.75	2.66
28977.75	2.24	2.56
28978	1.26	1.53
28978.25	0.74	1.22
28978.5	1.35	2.38
28978.75	1.07	1.74
28979	1.45	1.93
28979.25	2.26	2.41
28979.5	1.89	2.06
28979.75	0.83	0.95
28980	2.18	2.59
28980.25	2.34	2.48
28980.5	2.19	2.39
28980.75	2.13	2.36
28981	2.34	2.35
28981.25	1.89	1.93
28981.5	1.79	1.89
28981.75	2.7	2.74
28982	2.18	2.24
28982.25	1.79	1.85
28982.5	1.32	1.36
28982.75	1.09	1.31
28983	1.33	1.58
28983.25	1.4	1.57
28983.5	1.04	1.11
28983.75	0.66	0.56
28984	0.32	0.33
28984.25	0.53	0.58
28984.5	0.65	0.67
28984.75	0.34	0.35
28985	0.35	0.36
28985.25	0.46	0.48
28985.5	0.67	0.68
28985.75	0.65	0.66
28986	0.83	0.85
28986.25	0.84	0.88
28986.5	0.78	0.81
28986.75	0.83	0.87
28987	1.17	1.23
28987.25	1.04	1.12
28987.5	1.29	1.4
28987.75	1.4	1.5
28988	1.23	1.42
28988.25	1.03	1.24
28988.5	1.05	1.26
28988.75	1.18	1.37
28989	1.25	1.43
28989.25	1.37	1.56
28989.5	1.5	1.7
28989.75	1.39	1.59
28990	1.61	1.95
28990.25	2.2	2.56
28990.5	2.01	2.37
28990.75	1.86	2.16
28991	1.12	1.31
28991.25	1.4	1.62
28991.5	1.07	1.24
28991.75	1.35	1.77
28992	1.26	1.59
28992.25	1.19	1.48
28992.5	1.02	1.26
28992.75	0.85	1.05
28993	0.71	0.87
28993.25	0.59	0.72
28993.5	0.77	0.92
28993.75	0.63	0.69
28994	0.64	0.75
28994.25	1.51	1.5
28994.5	1.33	1.36
28994.75	0.96	1.02
28995	1.9	1.92
28995.25	2.3	2.38
28995.5	1.99	2.05
28995.75	2.61	2.72
28996	2.09	2.17
28996.25	1.39	1.45
28996.5	1.29	1.33
28996.75	1.02	1.06
28997	0.94	1
28997.25	0.78	0.82
28997.5	0.64	0.66
28997.75	0.53	0.55
28998	0.51	0.53
28998.25	0.72	0.78
28998.5	0.77	0.91
28998.75	0.77	0.92
28999	0.78	0.94
28999.25	1.01	1.15
28999.5	0.83	0.95
28999.75	0.63	0.68
29000	0.75	0.76
29000.25	1	1.02
29000.5	0.75	0.79
29000.75	0.84	0.89
29001	0.8	0.86
29001.25	0.72	0.8
29001.5	0.69	0.77
29001.75	0.84	0.97
29002	1.31	1.57
29002.25	2.37	2.89
29002.5	2.45	2.91
29002.75	2.41	2.82
29003	2.17	2.51
29003.25	1.85	2.14
29003.5	1.57	1.81
29003.75	2.34	2.44
29004	1.81	1.87
29004.25	1.6	1.65
29004.5	1.51	1.55
29004.75	1.14	1.16
29005	1.19	1.39
29005.25	1.42	1.97
29005.5	1.08	1.62
29005.75	1.13	1.59
29006	1.21	1.42
29006.25	0.79	0.95
29006.5	1.21	1.26
29006.75	1.06	1.15
